lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling,geometry,jumlah_banjir,Hasil_Prediksi,Probabilitas_Prediksi
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, DAYEUHKOLOT, BALEENDAH, ANDIR",-6993945,1076437,2232.58,0.25,0.7142857142857142,1.0,0.0,POINT (1076437 -6993945),1,0.0,0.15
"JAWA BARAT, KABUPATEN BANDUNG, BALEENDAH, MANGGAHANG ●, PAMEUNGPEUK, BOJONGMANGGU",-7026624,107642027,2213.86,0.375,0.5714285714285714,0.75,1.0,POINT (107642027 -7026624),2,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, KAC. DAYEHKOLOT, DAYEUHKOLOT, CITEUREUP, PASAWAHAN., BALEENDAH, ANDIR, BOJONGSOANG, BOJONGSARI, TEGALUAR",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MEKARSALUYU TARUMAJAYA",-6873328,107652027,85.163,0.5,0.5714285714285714,0.0,0.0,POINT (107652027 -6873328),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, BALEENDAH, ANDIR, BOJONGSOANG, BOJONGSARI, TEGALUAR, MARGAHAYU, SAYATI",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, RANCAEKEK KULON KAMP. BOJONGMELATI",-696488,107755958,53.783,0.0,0.7142857142857142,0.0,0.0,POINT (107755958 -696488),5,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGLOA, RANCAEKEK WETAN, RANCAEKEK KULON",-6979738,107754982,2049.91,0.625,0.7142857142857142,0.25,0.0,POINT (107754982 -6979738),2,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, DAYEUHKOLOT; CITEUREUP;, PASAWAHAN, BALEENDAH, ANDIR DAN BALEENDAH, BOJONGSOANG",-6972873,107614077,2229.73,1.0,0.7142857142857142,1.0,1.0,POINT (107614077 -6972873),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, MARGAHAYU, SAYATI, CIPARAY, GUNUNGLEUTIK, BOJONGSOANG, BALEENDAH, ANDIR, DAYEUHKOLOT, CICALENGKA, CICALENGKA WETAN",-6974538,10757866,2218.53,0.625,0.7142857142857142,0.75,1.0,POINT (10757866 -6974538),2,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CITEUREUP, PESAWARAN, BALEENDAH, ANDIR, BOJOSOANG, BOJONGSARI, TEGALUAR",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CITEUREUP, PASAWAHAN, BALEENDAH, ANDIR, BANJARAN, TARAJUSARI, TANJUNGSARI, BOJONGSOANG, BOJONGSARI, TEGALUAR, SOLOKANJERUK, PANYADAP, CIPARAY K",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, BOJOSOANG, BOJONGSARI, KATAPANG, CILEUNYI, BALEENDAH",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CITEREUP, PESAWAHAN, BOJONGSOANG, BALEENDAH, ANDIR, MAJALAYA, IBUN",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, PESAWAHAN, CITEUREP, BALEENDAH, ANDIR, BOJONGSOANG",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, BALEENDAH, ANDIR, BOJONG SOANG, CICALENGKA, CILEUNYI DS. CIMEKAR",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BALEENDAH, BALEENDAH KP. CIGOSOL KP. MUARA KP. CIPUTAT KP. UWAK KP. CIBADAK KP. PARUNGHALANG KP. CIODENG KP. ANDIR, DAYEUHKOLOT, CITEUREUP KP. BOJONGASIH KP. BABAKAN CILISUNG KP. CILISUNG KP. BOLERO KP. KAUM, BOJONGSOANG, CIJAGRA KP",-7018377,107630571,2226.85,0.5,0.5714285714285714,0.75,1.0,POINT (107630571 -7018377),2,1.0,0.98
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, PANENJOAN",-6986854,107817989,1930.87,0.625,0.7142857142857142,0.25,0.0,POINT (107817989 -6986854),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA KULON",-6981591,107832724,1925.33,0.625,0.5714285714285714,0.25,0.0,POINT (107832724 -6981591),2,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA WETAN",-6997711,107841926,13.119,0.75,0.5714285714285714,0.0,0.0,POINT (107841926 -6997711),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, DAMPIT",-6974237,107849828,1934.66,0.5,0.5714285714285714,0.25,0.0,POINT (107849828 -6974237),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, MARGAASIH",-7016285,107838072,1956.46,0.5,0.5714285714285714,0.25,0.0,POINT (107838072 -7016285),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NARAWITA",-7026569,107844001,1973.86,1.0,0.5714285714285714,0.25,0.0,POINT (107844001 -7026569),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TANJUNGWANGI",-6970147,107887255,26.481,0.5,0.2857142857142857,0.0,0.0,POINT (107887255 -6970147),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, TENJOLAYA",-6982726,107835008,1925.93,1.0,0.5714285714285714,0.25,0.0,POINT (107835008 -6982726),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, NAGROG",-7000071,107863643,1953.56,0.0,0.5714285714285714,0.25,0.0,POINT (107863643 -7000071),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG",-7022122,1078934,1996.39,1.0,0.5714285714285714,0.25,0.0,POINT (1078934 -7022122),2,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, BOJONG",-7026543,107870048,30.926,1.0,0.5714285714285714,0.0,0.0,POINT (107870048 -7026543),2,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CIHERANG",-7034742,107891743,2004.84,0.5,0.5714285714285714,0.25,0.0,POINT (107891743 -7034742),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CITAMAN",-7009957,107875985,26.39,0.75,0.5714285714285714,0.0,0.0,POINT (107875985 -7009957),2,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, MANDALAWANGI",-7025169,107861087,1979.74,0.75,0.5714285714285714,0.25,0.0,POINT (107861087 -7025169),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, NAGREG KENDAN",-7022122,1078934,1996.39,1.0,0.5714285714285714,0.25,0.0,POINT (1078934 -7022122),2,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, MANDALASARI",-7037923,10782847,36.557,0.5,0.5714285714285714,0.0,0.0,POINT (10782847 -7037923),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG",-7038502,107825012,2001.44,1.0,0.5714285714285714,0.25,0.0,POINT (107825012 -7038502),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIKASUNGKA",-7014067,107811798,1966.51,0.625,0.7142857142857142,0.25,0.0,POINT (107811798 -7014067),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CIHANYIR",-7034434,10781092,2005.52,0.5,0.5714285714285714,0.25,0.0,POINT (10781092 -7034434),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIKANCUNG, CILULUK",-7038312,107803304,44.774,0.75,0.5714285714285714,0.0,0.0,POINT (107803304 -7038312),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, BOJONGSALAM",-6992941,107802196,1954.75,0.625,0.7142857142857142,0.25,0.0,POINT (107802196 -6992941),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, LINGGAR",-6974516,107776282,1999.65,0.625,0.7142857142857142,0.25,0.0,POINT (107776282 -6974516),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, CANGKUANG",-6972372,10779047,1969.36,1.0,0.7142857142857142,0.25,0.0,POINT (10779047 -6972372),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, HAURPUGUR",-6994326,107777028,2004.44,1.0,0.7142857142857142,0.25,0.0,POINT (107777028 -6994326),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BOJONG",-7039568,107767543,2062.84,0.625,0.7142857142857142,0.25,0.0,POINT (107767543 -7039568),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, CIJAGRA",-7036788,107777117,2049.26,0.625,0.7142857142857142,0.25,0.0,POINT (107777117 -7036788),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, PASEH, TANGSIMEKAR",-7028698,107777331,2039.69,0.625,0.7142857142857142,0.25,0.0,POINT (107777331 -7028698),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CANGKUANG",-6979043,107782748,31.229,0.625,0.7142857142857142,0.0,0.0,POINT (107782748 -6979043),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, NAGREG, CITAMAN, PASEH, DRAMATIC, SOLOKAN JERUK, PANYADAP, RANCAEKEK, HAUR PUGUR",-7009957,107875985,26.39,0.75,0.5714285714285714,0.0,0.0,POINT (107875985 -7009957),2,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CICALENGKA, CICALENGKA WETAN, CIKUYA",-6981591,107832724,1925.33,0.625,0.5714285714285714,0.25,0.0,POINT (107832724 -6981591),2,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, BOJONG, MARGAHAYU, SOLOKAN JERUK",-7026543,107870048,30.926,1.0,0.5714285714285714,0.0,0.0,POINT (107870048 -7026543),2,0.0,0.0
