lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling,geometry,jumlah_banjir,Hasil_Prediksi,Probabilitas_Prediksi
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, LAKSANA",-7137239,107779642,65.777,0.0,0.2857142857142857,0.0,0.0,POINT (107779642 -7137239),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, TALUN",-7075035,107765023,2078.83,0.625,0.5714285714285714,0.5,1.0,POINT (107765023 -7075035),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, MEKARWANGI",-7105599,107774014,2079.93,0.0,0.2857142857142857,0.5,0.0,POINT (107774014 -7105599),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, IBUN, SUDI",-7085066,107770511,2079.53,0.75,0.5714285714285714,0.5,1.0,POINT (107770511 -7085066),1,1.0,0.99
"JAWA BARAT, KABUPATEN BANDUNG, MAJALAYA, DAYEUHKOLOT, CITEUREP, CANGKUAN WETAN, PESAWAHAN, BALEENDAH, RANCAMANYAR, ANDIR, CIPARAY, SUMBERSARI, RANCAEKEK, RANCAEKEK WETAN, BOJONGSOANG, TEGALU",-704952,107761598,63.249,1.0,0.7142857142857142,0.0,0.0,POINT (107761598 -704952),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PAMEKARAN",-7027331,107526421,2270.98,0.625,1.0,1.0,1.0,POINT (107526421 -7027331),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, KARAMATMULYA",-7041507,107517595,2278.71,1.0,0.5714285714285714,1.0,1.0,POINT (107517595 -7041507),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, KUTAWARINGIN, PADASUKA",-7014983,10752325,2270.67,0.625,1.0,1.0,1.0,POINT (10752325 -7014983),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, KUTAWARINGIN, CILAME",-7036769,107493488,2285.92,0.625,0.0,1.0,0.0,POINT (107493488 -7036769),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, KUTAWARINGIN, BUNINAGARA, CILAME SERANG, MAJALAYA",-7019677,107499256,140.01,0.0,0.5714285714285714,0.0,0.0,POINT (107499256 -7019677),1,0.0,0.0
